        PARENT     |   SUGGESTED
       ("ORIGINAL", "26M-bU3wMBI"),
    ("O3je86geH2Q", "yzVBA8nYH8o"),

55) ("WBDBVUwBYIA", "U7TCIEmotdI"),
    ("WBDBVUwBYIA", "4UItmh_39uw"),
    ("WBDBVUwBYIA", "KxN4BlFMsDE"),
    ("WBDBVUwBYIA", "WkWORopX26o"),
    ("WBDBVUwBYIA", "lE9dYGzs3RQ"),
    ("WBDBVUwBYIA", "ZCzeYQcDguM"),
    ("WBDBVUwBYIA", "L5fXbIsRR7A"),
    ("WBDBVUwBYIA", "ix8b8rAnefE"),
    ("WBDBVUwBYIA", "KQtZdEZFJmw"),
    ("WBDBVUwBYIA", "QKXlt8ptw1w"),

56) ("23FsA_Nileo", "_wLrih3A1p4"),
    ("23FsA_Nileo", "B_h9JUWK2fc"),
    ("23FsA_Nileo", "GHLlUXCml6k"),
    ("23FsA_Nileo", "nsgL5k1LkIk"),
    ("23FsA_Nileo", "z9CLU3yqlAE"),
    ("23FsA_Nileo", "yLEkmfYg5bM"),
    ("23FsA_Nileo", "4_D_SsmPrTw"),
    ("23FsA_Nileo", "dYPC8S563-4"),
    ("23FsA_Nileo", "UlJ6eEv4A1E"),
    ("23FsA_Nileo", "5nt8W9ruNOs"),

57) ("Ua_a1AS20AM", "c07RnJEeGwY"),
    ("Ua_a1AS20AM", "yLEkmfYg5bM"),
    ("Ua_a1AS20AM", "9DnYjZ1g8XU"),
    ("Ua_a1AS20AM", "y-34-bAKgU8"),
    ("Ua_a1AS20AM", "nbHZum7k3GU"),
    ("Ua_a1AS20AM", "NVEhvS1BBFo"),
    ("Ua_a1AS20AM", "dDO-sVxmkpw"),
    ("Ua_a1AS20AM", "kkd96ca-U2Q"),
    ("Ua_a1AS20AM", "qAE5H-ikIIc"),
    ("Ua_a1AS20AM", "5XQC1dtFH78"),

58) ("WkWORopX26o", "tquErGz0f-o"),
    ("WkWORopX26o", "kbfwASvGsVg"),
    ("WkWORopX26o", "0BjlBnfHcHM"),
    ("WkWORopX26o", "cpH8MKxkZ4c"),
    ("WkWORopX26o", "4AzEHjyztac"),
    ("WkWORopX26o", "d5hHzLMSF14"),
    ("WkWORopX26o", "FCRTRUL9LvQ"),
    ("WkWORopX26o", "OTd9_98O-rI"),
    ("WkWORopX26o", "V56BwknF7Z8"),
    ("WkWORopX26o", "lE9dYGzs3RQ"),

59) ("ix8b8rAnefE", "tquErGz0f-o"),
    ("ix8b8rAnefE", "kbfwASvGsVg"), 
    ("ix8b8rAnefE", "0BjlBnfHcHM"),
    ("ix8b8rAnefE", "cpH8MKxkZ4c"),
    ("ix8b8rAnefE", "4AzEHjyztac"),
    ("ix8b8rAnefE", "d5hHzLMSF14"),
    ("ix8b8rAnefE", "FCRTRUL9LvQ"),
    ("ix8b8rAnefE", "OTd9_98O-rI"),
    ("ix8b8rAnefE", "V56BwknF7Z8"),
    ("ix8b8rAnefE", "lE9dYGzs3RQ"),
After Insert, MANUAL_VIDEO_LINKS: 498

_____CARRIE____4th large batch insert of randomly choosen videos from the existing 
video_id's and top 10 side-bar suggested
        PARENT     |   SUGGESTED
60) ("PzugDMRM9Jc", "YhkkiXArOn8"),
    ("PzugDMRM9Jc", "p8-_DJd1Ii8"),
    ("PzugDMRM9Jc", "GvMz-wtoWrM"),
    ("PzugDMRM9Jc", "0CIa07W6GZM"),
    ("PzugDMRM9Jc", "9RkeppfNvP0"),
    ("PzugDMRM9Jc", "vK6fALsenmw"),
    ("PzugDMRM9Jc", "063-npQ6pM4"),
    ("PzugDMRM9Jc", "d8PndpFPL8g"),
    ("PzugDMRM9Jc", "7Mvy_Y2j3GE"),
    ("PzugDMRM9Jc", "o0A9M5wHBA4"),

61) ("8efjL9wTlAs", "GvMz-wtoWrM"),
    ("8efjL9wTlAs", "PzugDMRM9Jc"),
    ("8efjL9wTlAs", "46XaJvIxPeY"),
    ("8efjL9wTlAs", "pzCLQK3YNDc"),
    ("8efjL9wTlAs", "1ZXEW_YIftw"),
    ("8efjL9wTlAs", "PgpJWPCwLAI"),
    ("8efjL9wTlAs", "oI4fSxkqdLU"),
    ("8efjL9wTlAs", "063-npQ6pM4"),
    ("8efjL9wTlAs", "9wSQ9Zk_9gQ"),
    ("8efjL9wTlAs", "gqtrNXdlraM"),

62) ("kl1EIn2O09A", "aBO45IW7LqI"),
    ("kl1EIn2O09A", "GvMz-wtoWrM"),
    ("kl1EIn2O09A", "W8OFrDQkfjM"),
    ("kl1EIn2O09A", "vK6fALsenmw"),
    ("kl1EIn2O09A", "9wSQ9Zk_9gQ"),
    ("kl1EIn2O09A", "9RkeppfNvP0"),
    ("kl1EIn2O09A", "16LuvR2CARA"),
    ("kl1EIn2O09A", "H_cMYBCGKjc"),
    ("kl1EIn2O09A", "eROMPcuEVao"),
    ("kl1EIn2O09A", "wo_e0EvEZn8"),

63) ("p8-_DJd1Ii8", "srMEoe_5y6g"),
    ("p8-_DJd1Ii8", "gqtrNXdlraM"),
    ("p8-_DJd1Ii8", "IjjdAheuNKs"),
    ("p8-_DJd1Ii8", "9RkeppfNvP0"),
    ("p8-_DJd1Ii8", "BbsCT92Qs-o"),
    ("p8-_DJd1Ii8", "k9kmK0St9Jg"),
    ("p8-_DJd1Ii8", "EgZeQbwcmz4"),
    ("p8-_DJd1Ii8", "9wSQ9Zk_9gQ"),
    ("p8-_DJd1Ii8", "pzCLQK3YNDc"),
    ("p8-_DJd1Ii8", "VbiYrkR5joM"),

64) ("eROMPcuEVao", "JNVp5afGT78"),
    ("eROMPcuEVao", "EovJTGEokxc"),
    ("eROMPcuEVao", "67Yw_lux9O4"),
    ("eROMPcuEVao", "6dTyOl1fmDo"),
    ("eROMPcuEVao", "6c94vRmbM6Y"),
    ("eROMPcuEVao", "loPWd8RIrQo"),
    ("eROMPcuEVao", "063-npQ6pM4"),
    ("eROMPcuEVao", "RErTHawJ7Mk"),
    ("eROMPcuEVao", "2K0F0aKjLho"),
    ("eROMPcuEVao", "v31yFobxiZM"),

65) ("no_oAmo5hIQ", "P-TANCVoHlc"),
    ("no_oAmo5hIQ", "k9kmK0St9Jg"),
    ("no_oAmo5hIQ", "vSynsOf4560"),
    ("no_oAmo5hIQ", "DyBcSuqLo3k"),
    ("no_oAmo5hIQ", "opFKJ1YXPY0"),
    ("no_oAmo5hIQ", "j74FeqzVuWI"),
    ("no_oAmo5hIQ", "PyePMqSmKKs"),
    ("no_oAmo5hIQ", "uSGVk2KVokQ"),
    ("no_oAmo5hIQ", "Pxvfy4qQRog"),
    ("no_oAmo5hIQ", "L4Hxd06UOwU"),

66) ("YhkkiXArOn8", "42ymRPVKdUA"),
    ("YhkkiXArOn8", "u8cLu90cV20"),
    ("YhkkiXArOn8", "m5Ej7NeLj8g"),
    ("YhkkiXArOn8", "LQ9tlq86bHw"),
    ("YhkkiXArOn8", "EHLtkZk7N_M"),
    ("YhkkiXArOn8", "nb6ZCS5dTSo"),
    ("YhkkiXArOn8", "Pxi-JQC7qoE"),
    ("YhkkiXArOn8", "dNTnk1VFoJY"),
    ("YhkkiXArOn8", "F572OcpTcKY"),
    ("YhkkiXArOn8", "Sb6CFkAsfmQ"),

67) ("5z2lPpj3OTQ", "e5R4PNfPVwk"),
    ("5z2lPpj3OTQ", "CcVsJZNPHew"),
    ("5z2lPpj3OTQ", "-SoujwI5Vno"),
    ("5z2lPpj3OTQ", "DuExsaFiB8M"),
    ("5z2lPpj3OTQ", "2AcrEic-QZY"),
    ("5z2lPpj3OTQ", "zKIFUMj0zgo"),
    ("5z2lPpj3OTQ", "NVEhvS1BBFo"),
    ("5z2lPpj3OTQ", "3CNcOZC4oEA"),
    ("5z2lPpj3OTQ", "jNr-VoldcTs"),
    ("5z2lPpj3OTQ", "MvUVAP6ZxMk"),

68) ("e7QG9vuJ75g", "W8OFrDQkfjM"),
    ("e7QG9vuJ75g", "zP3Un68Zwno"),
    ("e7QG9vuJ75g", "EqLfXzzPB0g"),
    ("e7QG9vuJ75g", "9RkeppfNvP0"),
    ("e7QG9vuJ75g", "ZPWdj0qOr8A"),
    ("e7QG9vuJ75g", "vxP9Y3aZu_k"),
    ("e7QG9vuJ75g", "q-KhCik_4G4"),
    ("e7QG9vuJ75g", "nlWwwH5Zk6k"),
    ("e7QG9vuJ75g", "OV2Tfp_GmkE"),
    ("e7QG9vuJ75g", "dmns9l0VjzM"),

69) ("LqelpONZvpw", "MFLc4Okc_LQ"),
    ("LqelpONZvpw", "CWNhVoJMdZk"),
    ("LqelpONZvpw", "0f0vuCycOTE"),
    ("LqelpONZvpw", "k9kmK0St9Jg"),
    ("LqelpONZvpw", "0GTkK_khhBM"),
    ("LqelpONZvpw", "loPWd8RIrQo"),
    ("LqelpONZvpw", "KbNZkbQw9lE"),
    ("LqelpONZvpw", "JpMreN8dceE"),
    ("LqelpONZvpw", "IQxrxZFNAc0"),
    ("LqelpONZvpw", "l18wleYDRPc"),

70) ("46XaJvIxPeY", "W8OFrDQkfjM"),
    ("46XaJvIxPeY", "loPWd8RIrQo"),
    ("46XaJvIxPeY", "ol4X6oc-tz8"),
    ("46XaJvIxPeY", "VbiYrkR5joM"),
    ("46XaJvIxPeY", "ochgnYc4hXg"),
    ("46XaJvIxPeY", "vK6fALsenmw"),
    ("46XaJvIxPeY", "SaiMNBpN9Yw"),
    ("46XaJvIxPeY", "BbsCT92Qs-o"),
    ("46XaJvIxPeY", "Br6ssY-OrTc"),
    ("46XaJvIxPeY", "vU86d0k71-w"),
After Insert, MANUAL_VIDEO_LINKS: 608
****RUNNING OTHER SCRIPTS TO CATCH UP****
After running scripts: COMMENTS: 4300, VIDEOS: 438, VIDEO_FLAG_COUNT: 231
Added new table to store video stats: 

March 19, 2025
5th large batch insert of randomly choosen videos from the existing 
video_id's and top 10 side-bar suggested
       # PARENT    |   SUGGESTED
71) ("0CIa07W6GZM", "_XARfBwUhTo"),
    ("0CIa07W6GZM", "L0k1mYA2hq0"),
    ("0CIa07W6GZM", "2Box8dkz6cQ"),
    ("0CIa07W6GZM", "rSpzAVpnXo4"),
    ("0CIa07W6GZM", "din1J2mZmc4"),
    ("0CIa07W6GZM", "bP66ZPXIFP4"),
    ("0CIa07W6GZM", "UHnuoJNjf_c"),
    ("0CIa07W6GZM", "XiUOBdEUqjY"),
    ("0CIa07W6GZM", "h64swlRkcmE"),
    ("0CIa07W6GZM", "JUPrdUvB58c"),

72) ("h64swlRkcmE", "GvMz-wtoWrM"),
    ("h64swlRkcmE", "PzugDMRM9Jc"),
    ("h64swlRkcmE", "46XaJvIxPeY"),
    ("h64swlRkcmE", "pzCLQK3YNDc"),
    ("h64swlRkcmE", "1ZXEW_YIftw"),
    ("h64swlRkcmE", "PgpJWPCwLAI"),
    ("h64swlRkcmE", "oI4fSxkqdLU"),
    ("h64swlRkcmE", "063-npQ6pM4"),
    ("h64swlRkcmE", "9wSQ9Zk_9gQ"),
    ("h64swlRkcmE", "gqtrNXdlraM"),

73) ("JUPrdUvB58c", "1OSGNzrNXr8"),
    ("JUPrdUvB58c", "88bMVbx1dzM"),
    ("JUPrdUvB58c", "RjS2yIgn3IQ"),
    ("JUPrdUvB58c", "8k25_HmvtyE"),
    ("JUPrdUvB58c", "fYVjknOS_XQ"),
    ("JUPrdUvB58c", "hes_8h2aLRQ"),
    ("JUPrdUvB58c", "PglRkGyXQ1A"),
    ("JUPrdUvB58c", "bFkIG9S2Mmg"),
    ("JUPrdUvB58c", "b_EoZzE7KJ0"),
    ("JUPrdUvB58c", "bshwXGqwA68"),

74) ("P-TANCVoHlc", "2ai5NWd8nuo"),
    ("P-TANCVoHlc", "ffw4_-hvZC4"),
    ("P-TANCVoHlc", "0twDETh6QaI"),
    ("P-TANCVoHlc", "b0slsOLp3ng"),
    ("P-TANCVoHlc", "56EyKNjhUDY"),
    ("P-TANCVoHlc", "2f3gB3zSL08"),
    ("P-TANCVoHlc", "kLMZPlIufA0"),
    ("P-TANCVoHlc", "nJbOX4RmjjE"),
    ("P-TANCVoHlc", "k9kmK0St9Jg"),
    ("P-TANCVoHlc", "no_oAmo5hIQ"),

75) ("k9kmK0St9Jg", "TLC7JFFPpck"),
    ("k9kmK0St9Jg", "SaiMNBpN9Yw"),
    ("k9kmK0St9Jg", "Xvdk6fmdOtw"),
    ("k9kmK0St9Jg", "YGn5LOb4dk4"),
    ("k9kmK0St9Jg", "5PCqQbLquHA"),
    ("k9kmK0St9Jg", "BPK3TZce-3g"),
    ("k9kmK0St9Jg", "REIlo713ulU"),
    ("k9kmK0St9Jg", "AcKM_e5ig_8"),
    ("k9kmK0St9Jg", "IQJL3htsDyQ"),
    ("k9kmK0St9Jg", "Xo02kRbVDPQ"),

76) ("vSynsOf4560", "y08scEk59G0"),
    ("vSynsOf4560", "P-TANCVoHlc"),
    ("vSynsOf4560", "QApHpur4q9A"),
    ("vSynsOf4560", "no_oAmo5hIQ"),
    ("vSynsOf4560", "5z2lPpj3OTQ"),
    ("vSynsOf4560", "_LIYWFt6NEE"),
    ("vSynsOf4560", "Z0jCH7QVhm4"),
    ("vSynsOf4560", "gPqY9WDEplM"),
    ("vSynsOf4560", "iPtS_zEJKKI"),
    ("vSynsOf4560", "DIQIUfCCo1w"),

77) ("DyBcSuqLo3k", "Mc4t66r54dU"),
    ("DyBcSuqLo3k", "5z2lPpj3OTQ"),
    ("DyBcSuqLo3k", "VbiYrkR5joM"),
    ("DyBcSuqLo3k", "Pxvfy4qQRog"),
    ("DyBcSuqLo3k", "xt1fiitz1YM"),
    ("DyBcSuqLo3k", "IQJL3htsDyQ"),
    ("DyBcSuqLo3k", "ADYFW7vWvVg"),
    ("DyBcSuqLo3k", "weVVYA_Rsmc"),
    ("DyBcSuqLo3k", "XfDKqucBS0A"),
    ("DyBcSuqLo3k", "tSw04BwQy4M"),

78) ("opFKJ1YXPY0", "PVSAAImlVM0"),
    ("opFKJ1YXPY0", "-My82cY8410"),
    ("opFKJ1YXPY0", "KkIkymh5Ayg"),
    ("opFKJ1YXPY0", "GCGwkgUW2sc"),
    ("opFKJ1YXPY0", "5z2lPpj3OTQ"),
    ("opFKJ1YXPY0", "xt1fiitz1YM"),
    ("opFKJ1YXPY0", "bDrNolNVMPg"),
    ("opFKJ1YXPY0", "yIpms96cr1o"),
    ("opFKJ1YXPY0", "IQJL3htsDyQ"),
    ("opFKJ1YXPY0", "k9kmK0St9Jg"),

79) ("j74FeqzVuWI", "IJeUsqgwmpg"),
    ("j74FeqzVuWI", "eoFYdhFU5GM"),
    ("j74FeqzVuWI", "0aGNAxN5Z-o"),
    ("j74FeqzVuWI", "UaUfS6Gr_Ik"),
    ("j74FeqzVuWI", "3pvkgUc9Zbc"),
    ("j74FeqzVuWI", "oFwiu8cN3wo"),
    ("j74FeqzVuWI", "NdXMjPPYad4"),
    ("j74FeqzVuWI", "xL3C5K3-RZk"),
    ("j74FeqzVuWI", "QN1rULxGHCA"),
    ("j74FeqzVuWI", "k9kmK0St9Jg"),

80) ("PyePMqSmKKs", "G9E6iccJ3JU"),
    ("PyePMqSmKKs", "ab4xh6F3uOo"),
    ("PyePMqSmKKs", "weVVYA_Rsmc"),
    ("PyePMqSmKKs", "9esTFmyWeW0"),
    ("PyePMqSmKKs", "HT7mizKCseQ"),
    ("PyePMqSmKKs", "r6k6OMfsnxg"),
    ("PyePMqSmKKs", "k9kmK0St9Jg"),
    ("PyePMqSmKKs", "PIerWDWwICg"),
    ("PyePMqSmKKs", "Mc4t66r54dU"),
    ("PyePMqSmKKs", "iPtS_zEJKKI"),

81) ("uSGVk2KVokQ", "wVYG1mu8Lg8"),
    ("uSGVk2KVokQ", "zyPZuqkLaTc"),
    ("uSGVk2KVokQ", "GhUw-W0Amfs"),
    ("uSGVk2KVokQ", "REIlo713ulU"),
    ("uSGVk2KVokQ", "VLHkxmlj_QU"),
    ("uSGVk2KVokQ", "uEk_pc0xVYc"),
    ("uSGVk2KVokQ", "K297opaBp8E"),
    ("uSGVk2KVokQ", "Li2TQd5nF8s"),
    ("uSGVk2KVokQ", "DJsngculfKo"),
    ("uSGVk2KVokQ", "mmnf2dHPz04"),

82) ("Pxvfy4qQRog", "cw0F8G4-dMw"),
    ("Pxvfy4qQRog", "fkZG_FYqOEs"),
    ("Pxvfy4qQRog", "xnLUzZU4UbU"),
    ("Pxvfy4qQRog", "DlMLfxxvKD8"),
    ("Pxvfy4qQRog", "k9kmK0St9Jg"),
    ("Pxvfy4qQRog", "YasnpE7ONNA"),
    ("Pxvfy4qQRog", "EqLfXzzPB0g"),
    ("Pxvfy4qQRog", "vK6fALsenmw"),
    ("Pxvfy4qQRog", "8Q8XoeTCmTQ"),
    ("Pxvfy4qQRog", "IQJL3htsDyQ"),

83) ("L4Hxd06UOwU", "2iKigHOe4Jg"),
    ("L4Hxd06UOwU", "8n5Lh_sIN-k"),
    ("L4Hxd06UOwU", "pbmqFEGK73Q"),
    ("L4Hxd06UOwU", "KEgggvchQZE"),
    ("L4Hxd06UOwU", "kejuKpg8U-k"),
    ("L4Hxd06UOwU", "ZDpo_o7dR8c"),
    ("L4Hxd06UOwU", "E2QBRx1XYM0"),
    ("L4Hxd06UOwU", "DXbdGJrydrc"),
    ("L4Hxd06UOwU", "fPQiNDQsx-E"),
    ("L4Hxd06UOwU", "iHXF0-cfqkA"),

84) ("WhySWZ68q78", "_uBLsHA8nas"),
    ("WhySWZ68q78", "Pxvfy4qQRog"),
    ("WhySWZ68q78", "k9kmK0St9Jg"),
    ("WhySWZ68q78", "QZBkabrh-N4"),
    ("WhySWZ68q78", "X-XG_FWXSto"),
    ("WhySWZ68q78", "REIlo713ulU"),
    ("WhySWZ68q78", "5z2lPpj3OTQ"),
    ("WhySWZ68q78", "DIQIUfCCo1w"),
    ("WhySWZ68q78", "3isfPdsWaMc"),
    ("WhySWZ68q78", "j0SaNVBJcHU"),

85) ("L0k1mYA2hq0", "0a-3U4CfD94"),
    ("L0k1mYA2hq0", "TpZY1d86ZKU"),
    ("L0k1mYA2hq0", "JE5TdcST0LI"),
    ("L0k1mYA2hq0", "0kw9u1vVaNg"),
    ("L0k1mYA2hq0", "twUK5YreLWk"),
    ("L0k1mYA2hq0", "MXAW59fA8hk"),
    ("L0k1mYA2hq0", "V6kMs673lnM"),
    ("L0k1mYA2hq0", "HVZ6-QGylW0"),
    ("L0k1mYA2hq0", "AefTLx9XTGg"),
    ("L0k1mYA2hq0", "qNrnwAKBU3Q"),

86) ("Z0jCH7QVhm4", "UopANFTGexA"),
    ("Z0jCH7QVhm4", "6a8sARDI4VI"),
    ("Z0jCH7QVhm4", "-M0FVtHszN4"),
    ("Z0jCH7QVhm4", "HOwMRxIUa1Q"),
    ("Z0jCH7QVhm4", "wo_e0EvEZn8"),
    ("Z0jCH7QVhm4", "HHf0DMQ7I9Q"),
    ("Z0jCH7QVhm4", "gqtrNXdlraM"),
    ("Z0jCH7QVhm4", "xt1fiitz1YM"),
    ("Z0jCH7QVhm4", "3aYpG8kn4nc"),
    ("Z0jCH7QVhm4", "8uYj60gf5SU"),

87) ("88bMVbx1dzM", "dFVrncgIvos"),
    ("88bMVbx1dzM", "OreWXw1ojow"),
    ("88bMVbx1dzM", "_IOh0S_L3C4"),
    ("88bMVbx1dzM", "zaXKQ70q4KQ"),
    ("88bMVbx1dzM", "zV2wIfDzFMk"),
    ("88bMVbx1dzM", "8hnu5DspBso"),
    ("88bMVbx1dzM", "2oDXbFcHliM"),
    ("88bMVbx1dzM", "tXLoBs0ipsI"),
    ("88bMVbx1dzM", "Ni82f1-cAXg"),
    ("88bMVbx1dzM", "FnRhnZbDprE"),
    
88) ("hes_8h2aLRQ", "CER82OplzWI"),
    ("hes_8h2aLRQ", "RT5jnnttUKw"),
    ("hes_8h2aLRQ", "KokyE0amak0"),
    ("hes_8h2aLRQ", "IUkgHhiezuA"),
    ("hes_8h2aLRQ", "hw2BO4dUYzY"),
    ("hes_8h2aLRQ", "yWbwD6uzqr0"),
    ("hes_8h2aLRQ", "2O3dWrh3USc"),
    ("hes_8h2aLRQ", "a8Jy50f8Ko8"),
    ("hes_8h2aLRQ", "MaykXH37A2k"),
    ("hes_8h2aLRQ", "aGbjZWwyeyA"),
After Insert, MANUAL_VIDEO_LINKS: 788
After running scripts: COMMENTS: 5607, VIDEOS: 571, VIDEO_FLAG_COUNT: 325

March 20, 2025
UPDATED STRATEGY: After reviewing the API, it was decided to create Playlists 
in YouTube, starting with a random suggested video already in the DB. Then add
anywhere between 10 and 50 side-bar suggestions. The API allows for extraction 
of video IDs from playlists. The playlists will be deleted to avoid/prevent
unintentional bias of suggested videos from YouTube.
Created fetch_playlist_videos.py script and playlist_video_ids.txt to easily 
keep track of batch insertions.

       # PARENT    |   SUGGESTED
89)   hw6y5AaOWss  :  GgEnoMXnaD0
      hw6y5AaOWss  :  pD1Vom9nfB8
      hw6y5AaOWss  :  itrRZ7kFk1s
      hw6y5AaOWss  :  cXEY7N1UpOM
      hw6y5AaOWss  :  FjUMFPE9AEw
      hw6y5AaOWss  :  I2mBN09k8Zk
      hw6y5AaOWss  :  PW0sIXnx8ik
      hw6y5AaOWss  :  Wz9_EpTzE6o
      hw6y5AaOWss  :  zJTcyFeWOQw
      hw6y5AaOWss  :  y3Zza0l-tPk
      hw6y5AaOWss  :  lmWcK-Z15oc
      hw6y5AaOWss  :  kvTE9I9DPD0
After Insert and Scripts, 
MANUAL_VIDEO_LINKS: 800, VIDEOS: 583, VIDEO_STATS: 583, 
COMMENTS: 5718, VIDEO_FLAG_COUNT: 329

    # PARENT    |   SUGGESTED
90) kiGjSA8NPpo : WEaR5CulE_E
    kiGjSA8NPpo : 9G6U7InIsFg
    kiGjSA8NPpo : EIyEdCN2pGM
    kiGjSA8NPpo : f9sqUaj5XsQ
    kiGjSA8NPpo : L0GAS3hM7lo
    kiGjSA8NPpo : bMnLf5KFSos
    kiGjSA8NPpo : tRFlk4FhpoU
    kiGjSA8NPpo : iawj93c6Sss
    kiGjSA8NPpo : Jqj0qz6dAcw
    kiGjSA8NPpo : lv1i8fWwDVY
    kiGjSA8NPpo : fRKHN-quT8E
    kiGjSA8NPpo : dMCRerWiEQ0
    kiGjSA8NPpo : YCYAHABlS5U
    kiGjSA8NPpo : OetqlKApkvo
    kiGjSA8NPpo : XZZdcai1oIE
    kiGjSA8NPpo : PC35HS8GXcw
    kiGjSA8NPpo : 1LVpkx9nqts
    kiGjSA8NPpo : nnmth3MQ0Ik
    kiGjSA8NPpo : kBwPChmLsTs
    kiGjSA8NPpo : EK9a0JbHnBc
After Insert and Scripts, 
MANUAL_VIDEO_LINKS: 820, VIDEOS: 603, VIDEO_STATS: 603, 
COMMENTS: 5909, VIDEO_FLAG_COUNT: 335

March 21, 2025
    # PARENT    |   SUGGESTED
91) zspxDn4-wow : HpQmsHf8Suw
    zspxDn4-wow : lOKASgtr6kU
    zspxDn4-wow : rMHrnB7kAAM
    zspxDn4-wow : QylrQhP8dqc
    zspxDn4-wow : B98H1DZwcBk
    zspxDn4-wow : sxEKl4340Xc
    zspxDn4-wow : KMkJjQ6nVSk
    zspxDn4-wow : Xj0Jtjg3lHQ
    zspxDn4-wow : RmSS14KN5nI
    zspxDn4-wow : SCrO3kS1upU
    zspxDn4-wow : Ii8l8Zuxflo
    zspxDn4-wow : 8G-XoTe5SdA
    zspxDn4-wow : erLbbextvlY
    zspxDn4-wow : IyEBRZsLZc8
    zspxDn4-wow : vb5aX25iw5A
    zspxDn4-wow : lv6R9TexjCQ
    zspxDn4-wow : YLt73w6criQ
    zspxDn4-wow : 5bevi_0v6wU
    zspxDn4-wow : dArvdM2-mfE
    zspxDn4-wow : wFOD3WSfzjo
After Insert and Scripts,
MANUAL_VIDEO_LINKS: 840, VIDEOS: 622, VIDEO_STATS: 622, 
COMMENTS: 6099, VIDEO_FLAG_COUNT: 338

    # PARENT    |   SUGGESTED
92) svQOVq1h_8M : GPzYnbx9KPY
    svQOVq1h_8M : kpCPUJdFYPE
    svQOVq1h_8M : Cjij2jWActw
    svQOVq1h_8M : A42pz-YbWTQ
    svQOVq1h_8M : IXZDGYTqv5c
    svQOVq1h_8M : HTRVphViCio
    svQOVq1h_8M : XIXLoGsj-kM
    svQOVq1h_8M : JBFFU6b3kns
    svQOVq1h_8M : ScuyR4Hq0v4
    svQOVq1h_8M : OqtSn5Phuao
    svQOVq1h_8M : rlAQClts6pc
    svQOVq1h_8M : AMoYhpgHe_8
    svQOVq1h_8M : lYuohq1l2ZM
    svQOVq1h_8M : evNGHI669DE
    svQOVq1h_8M : cq0o0yd5JE0
    svQOVq1h_8M : NJ6mOyyKslc
    svQOVq1h_8M : IuqIAmdwXIo
    svQOVq1h_8M : 1Ppsw46d_0w
    svQOVq1h_8M : gemfwRuZRmA
After Insert and Scripts,
MANUAL_VIDEO_LINKS: 859, VIDEOS: 640, VIDEO_STATS: 640, 
COMMENTS: 6279, VIDEO_FLAG_COUNT: 344

    # PARENT    |   SUGGESTED
93) NVH79ehGfY0 : lC9emrW0F2o
    NVH79ehGfY0 : tc5nhTyZd6o
    NVH79ehGfY0 : HOmoZXA2iao
    NVH79ehGfY0 : LO886VqoC00
    NVH79ehGfY0 : NLDCV8IfNsM
    NVH79ehGfY0 : R6Zy_BYGaSU
    NVH79ehGfY0 : lk4B2pt2qFs
    NVH79ehGfY0 : FGgtwEQ-BTk
    NVH79ehGfY0 : PZt1vnxonJk
    NVH79ehGfY0 : U7TCIEmotdI
    NVH79ehGfY0 : Dj1Sr2DS07o
    NVH79ehGfY0 : 8PbXYWK-SJk
    NVH79ehGfY0 : ikDMbdMgbnM
    NVH79ehGfY0 : BCFH2n-Op_I
    NVH79ehGfY0 : 6_Py9INA4lE
    NVH79ehGfY0 : LZs_hH-CQKk
    NVH79ehGfY0 : tZPQaihwZRA
    NVH79ehGfY0 : 253DiiFjVak
    NVH79ehGfY0 : NkwOfPw2wZM
    NVH79ehGfY0 : C-UOSxZh8Rc
After Insert and Scripts,
MANUAL_VIDEO_LINKS: 879, VIDEOS: 658, VIDEO_STATS: 658, 
COMMENTS: 6449, VIDEO_FLAG_COUNT: 352

    # PARENT    |   SUGGESTED
94) mmL4kosieGs : eog1iZO9TLU
    mmL4kosieGs : MAZbUyV5mM4
    mmL4kosieGs : PFRf0WGPm9s
    mmL4kosieGs : Lp6izXuFFHA
    mmL4kosieGs : RwvCKetYXwI
    mmL4kosieGs : YISnxMg1nNM
    mmL4kosieGs : FMEnzd7x_gw
    mmL4kosieGs : -NigyzBSRCM
    mmL4kosieGs : Ss5ggp8Ij14
    mmL4kosieGs : -EONr2KD1J8
    mmL4kosieGs : 6KJEIVyy40g
    mmL4kosieGs : Dw4d07Hftf0
    mmL4kosieGs : HZtjpxO5rm8
    mmL4kosieGs : ul-vKdeNI_0
    mmL4kosieGs : J5HVis7SmP4
    mmL4kosieGs : lnArLTmJa6w
    mmL4kosieGs : YfWpRGYq_14
    mmL4kosieGs : U0Z29SlLF38
    mmL4kosieGs : I6kkxlD-C48
    mmL4kosieGs : HlIHuqFZuUQ
After Insert and Scripts,
MANUAL_VIDEO_LINKS: 899, VIDEOS: 671, VIDEO_STATS: 671, 
COMMENTS: 6578, VIDEO_FLAG_COUNT: 364

    # PARENT    |   SUGGESTED
95) XJsZgwOCrCI : pCcUUvUkCYc
    XJsZgwOCrCI : DWr61GM8nK8
    XJsZgwOCrCI : eG8b0JKUwb4
    XJsZgwOCrCI : y6nn4p5JOBM
    XJsZgwOCrCI : 4dDUWRWqcIo
    XJsZgwOCrCI : NVH79ehGfY0
    XJsZgwOCrCI : STPzH0Uob54
    XJsZgwOCrCI : pSK89fNeT9U
    XJsZgwOCrCI : pHWTjpg7RW0
